run_id,kind,stage,pipe_radius,structure,wi,seed,steps,sample_interval,design_time,tau_shape_used,tau_int_r_used,tau_r_used
r36_fluid_w0_s301,fluid,production,36.0,fluid,0.0,301,1000000,2000,5000.0,,,
r36_fluid_w0_s302,fluid,production,36.0,fluid,0.0,302,1000000,2000,5000.0,,,
r36_fluid_w0_s303,fluid,production,36.0,fluid,0.0,303,1000000,2000,5000.0,,,
r36_fluid_w1_s301,fluid,production,36.0,fluid,1.0,301,1000000,2000,5000.0,,,
r36_fluid_w1_s302,fluid,production,36.0,fluid,1.0,302,1000000,2000,5000.0,,,
r36_fluid_w1_s303,fluid,production,36.0,fluid,1.0,303,1000000,2000,5000.0,,,
r36_fluid_w3_s301,fluid,production,36.0,fluid,3.0,301,1000000,2000,5000.0,,,
r36_fluid_w3_s302,fluid,production,36.0,fluid,3.0,302,1000000,2000,5000.0,,,
r36_fluid_w3_s303,fluid,production,36.0,fluid,3.0,303,1000000,2000,5000.0,,,
r36_g1_w0_s101,gel,production,36.0,g1,0.0,101,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w0_s102,gel,production,36.0,g1,0.0,102,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w0_s103,gel,production,36.0,g1,0.0,103,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w0_s104,gel,production,36.0,g1,0.0,104,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w0_s105,gel,production,36.0,g1,0.0,105,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w1_s101,gel,production,36.0,g1,1.0,101,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w1_s102,gel,production,36.0,g1,1.0,102,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w1_s103,gel,production,36.0,g1,1.0,103,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w1_s104,gel,production,36.0,g1,1.0,104,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w1_s105,gel,production,36.0,g1,1.0,105,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w3_s101,gel,production,36.0,g1,3.0,101,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w3_s102,gel,production,36.0,g1,3.0,102,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w3_s103,gel,production,36.0,g1,3.0,103,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w3_s104,gel,production,36.0,g1,3.0,104,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g1_w3_s105,gel,production,36.0,g1,3.0,105,4000000,381,20000.0,19.042043,551.878597,551.878597
r36_g2_w0_s101,gel,production,36.0,g2,0.0,101,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w0_s102,gel,production,36.0,g2,0.0,102,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w0_s103,gel,production,36.0,g2,0.0,103,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w0_s104,gel,production,36.0,g2,0.0,104,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w0_s105,gel,production,36.0,g2,0.0,105,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w1_s101,gel,production,36.0,g2,1.0,101,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w1_s102,gel,production,36.0,g2,1.0,102,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w1_s103,gel,production,36.0,g2,1.0,103,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w1_s104,gel,production,36.0,g2,1.0,104,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w1_s105,gel,production,36.0,g2,1.0,105,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w3_s101,gel,production,36.0,g2,3.0,101,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w3_s102,gel,production,36.0,g2,3.0,102,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w3_s103,gel,production,36.0,g2,3.0,103,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w3_s104,gel,production,36.0,g2,3.0,104,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g2_w3_s105,gel,production,36.0,g2,3.0,105,4000000,706,20000.0,35.263005,635.149172,635.149172
r36_g3_w0_s101,gel,production,36.0,g3,0.0,101,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w0_s102,gel,production,36.0,g3,0.0,102,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w0_s103,gel,production,36.0,g3,0.0,103,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w0_s104,gel,production,36.0,g3,0.0,104,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w0_s105,gel,production,36.0,g3,0.0,105,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w1_s101,gel,production,36.0,g3,1.0,101,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w1_s102,gel,production,36.0,g3,1.0,102,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w1_s103,gel,production,36.0,g3,1.0,103,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w1_s104,gel,production,36.0,g3,1.0,104,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w1_s105,gel,production,36.0,g3,1.0,105,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w3_s101,gel,production,36.0,g3,3.0,101,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w3_s102,gel,production,36.0,g3,3.0,102,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w3_s103,gel,production,36.0,g3,3.0,103,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w3_s104,gel,production,36.0,g3,3.0,104,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g3_w3_s105,gel,production,36.0,g3,3.0,105,4000000,1161,20000.0,58.008689,582.250922,582.250922
r36_g4_w0_s101,gel,production,36.0,g4,0.0,101,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w0_s102,gel,production,36.0,g4,0.0,102,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w0_s103,gel,production,36.0,g4,0.0,103,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w0_s104,gel,production,36.0,g4,0.0,104,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w0_s105,gel,production,36.0,g4,0.0,105,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w1_s101,gel,production,36.0,g4,1.0,101,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w1_s102,gel,production,36.0,g4,1.0,102,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w1_s103,gel,production,36.0,g4,1.0,103,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w1_s104,gel,production,36.0,g4,1.0,104,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w1_s105,gel,production,36.0,g4,1.0,105,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w3_s101,gel,production,36.0,g4,3.0,101,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w3_s102,gel,production,36.0,g4,3.0,102,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w3_s103,gel,production,36.0,g4,3.0,103,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w3_s104,gel,production,36.0,g4,3.0,104,4000000,1900,20000.0,94.996465,409.218083,409.218083
r36_g4_w3_s105,gel,production,36.0,g4,3.0,105,4000000,1900,20000.0,94.996465,409.218083,409.218083
